Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
O fato de que as pessoas em países de clima frio tendem a trabalhar com mais afinco, a ser mais ricas, menos relaxadas, menos amigáveis, menos tolerantes ao ócio, mais organizadas (até demais) e mais estressadas do que aquelas que vivem em climas mais quentes deveria nos fazer considerar se a riqueza é mera indenização, e se a motivação é apenas uma compensação excessiva por não ter uma vida real.	O ensinamento é que é menos confortável viver em clima frio, o que suscita a necessidade de desenvolver, de evoluir.   Desconforto = Evolução	A cama de Procusto	Taleb, Nassim Nicholas
Os três vícios mais nocivos são heroína, carboidratos e um salário mensal.	Carboidratos e salário mensal te deixam manso. Te retiram o estado de alerta proveniente da selva, que te incentiva a buscar algo fora de você mesmo.	A cama de Procusto	Taleb, Nassim Nicholas
Um bom livro melhora na segunda leitura. Um ótimo livro, na terceira. Qualquer livro que não vale a pena reler não vale a pena ler.	Um bom livro deve ser pouco entendido na primeira leitura.	A cama de Procusto	Taleb, Nassim Nicholas
A diferença entre tecnologia e escravidão é que os escravos têm plena consciência de que não são livres.	Tecnologia é escravidão	A cama de Procusto	Taleb, Nassim Nicholas
Em sua maioria, as eficiências modernas são castigos adiados.	Pense como um atalho, você acha que está produzindo mais, mas entrou pela porta larga e não firmou as bases.	A cama de Procusto	Taleb, Nassim Nicholas
Uma heurística acerca de se ter controle da própria vida: você pode tirar sonecas?		A cama de Procusto	Taleb, Nassim Nicholas
Habilidades que se transferem: brigas de rua, caminhadas fora de trilhas marcadas, sedução, ampla erudição. Habilidades que não são transferíveis: escola, jogos, esportes, laboratório — tudo o que é reduzido e organizado.	Diferença entre habilidades desenvolvidas em ambientes controlados e por meio da exposição e da imprevisibilidade.	A cama de Procusto	Taleb, Nassim Nicholas
A vida verdadeira (vita beata) é quando suas escolhas correspondem aos seus deveres.	Necessário grande responsabilidade e integridade para isso.	A cama de Procusto	Taleb, Nassim Nicholas
"Quando vejo pessoas em esteiras rolantes, fico imaginando como os leões alfa, os mais fortes, são os que gastam a menor quantidade de energia, dormindo vinte horas por dia; outros caçam para eles. Cesar pontem fecit."	O verdadeiro poder é estrutural, não visível. Cesar não fez a ponte ele mesmo, mas estruturou tudo para que ele ordenasse que fosse executado e ele levar o crédito.	A cama de Procusto	Taleb, Nassim Nicholas
Você precisa se lembrar constantemente do óbvio: o encanto está no não dito, no não escrito e no não exibido. Controlar o silêncio requer maestria.	“Controlar o silêncio requer maestria” = Fazer com que todos entendam sem falar uma palavra.	A cama de Procusto	Taleb, Nassim Nicholas
